1053648|Abstral
10689|tramadol
1307713|Kalopanax septemlobus bark extract
1431077|Zubsolv
151678|Duragesic
152751|Methadose
1542391|Bunavail
1595731|Hysingla
1716058|Belbuca
1745876|Morphabond
1790528|Xtampza
1797651|Probuphine
1819|buprenorphine
1871435|Arymo
1944530|Roxybond
1996185|Sublocade
202370|Dolophine
203240|Kadian
203354|MS Contin
203840|Buprenex
218986|Oxycontin
224913|Dilaudid
3423|hydromorphone
4336|Sublimaze
4337|fentanyl
477468|morphine liposomal
5489|hydrocodone
6378|levorphanol
643147|Opana
6468|loperamide
670009|Diskets
6754|meperidine
6813|methadone
7052|morphine
7238|nalbuphine
7804|oxycodone
7814|oxymorphone
8001|pentazocine
8002|Talwin
854137|Nucynta
859959|Embeda
902730|Exalgo
904871|BuTrans
